Age	CO2	CO2do	CO2up	Study	
#DelaVega data includes Martinez-Boti et al. 2015 data recalculated. G. ruber					
1440.7	284.9	249.17	320.60	Dyez2018	
1445.8	286.7	245.45	327.86	Dyez2018	
1451.0	256.5	206.91	306.00	Dyez2018	
1455.5	237.1	207.19	267.01	Dyez2018	
1459.4	260.7	228.77	292.59	Dyez2018	
1464.5	248.9	219.98	277.76	Dyez2018	
1473.5	278.5	246.31	310.74	Dyez2018	
1478.0	271.9	240.12	303.66	Dyez2018	
1482.5	226.5	201.65	251.43	Dyez2018	
1490.0	292.2	257.82	326.63	Dyez2018	
1493.0	214.6	190.42	238.69	Dyez2018	
1496.4	201.0	177.46	224.50	Dyez2018	
1499.0	223.8	200.81	246.76	Dyez2018	
1502.3	182.9	161.63	204.22	Dyez2018	
1505.7	249.1	220.41	277.75	Dyez2018	
1509.0	276.6	242.78	310.49	Dyez2018	
1512.3	223.2	196.58	249.91	Dyez2018	
1515.7	298.9	261.02	336.77	Dyez2018	
1519.0	277.9	242.99	312.86	Dyez2018	
1522.3	283.6	244.30	322.98	Dyez2018	
1525.7	305.9	269.78	342.10	Dyez2018	
1529.0	255.8	228.46	283.18	Dyez2018	
1535.7	295.5	258.68	332.40	Dyez2018	
