"age" "pmaxCO2" "lw95" "lw68" "up68" "up95"
57.50166 531.397637482265 384.641321846539 441.971984232293 593.023405897989 651.647502659661
58.00166 502.206483037214 367.457065556283 420.63153012068 563.39107771098 623.428341516377
58.50166 474.919969043219 349.950729040275 400.204814541631 533.560677085495 603.429936265214
59.00166 447.224503543163 332.645166483788 381.514094129437 510.167108909966 583.755343716707
59.50166 422.370781208288 317.315418547693 359.659774474276 485.733314071778 577.746275549807
60.00166 402.311193529095 299.325319752429 341.427694774221 467.084731795725 578.914251903283
60.50166 385.85672205991 287.362365629646 328.065274293608 451.101075808946 577.086945594238
61.00166 372.665309480856 279.618458182458 319.024706843831 438.808445659079 577.574875793275
61.50166 363.796059421034 276.736844355802 313.229075584781 429.264545095079 578.025288708643
62.00166 351.653087163287 275.831238438631 309.313600606412 423.032804449942 578.418675691735
62.50166 347.483570149114 273.176204249764 309.303193124323 420.865407525818 578.317607363822
63.00166 347.258347275056 271.975728806738 306.355605274227 420.155691660741 576.571440142918
