SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
MB	2.86E+00	2.80E-04	3.52E-04	3.96E-04	4.45E-04	5.57E-04
SOSDIAN	2.88E+00	1.58E-04	1.95E-04	2.16E-04	2.40E-04	2.91E-04
MB	2.91E+00	2.42E-04	3.03E-04	3.39E-04	3.79E-04	4.70E-04
BARTOLI	2.92E+00	2.07E-04	2.58E-04	2.87E-04	3.20E-04	3.95E-04
MB	2.92E+00	2.45E-04	3.07E-04	3.43E-04	3.83E-04	4.71E-04
SOSDIAN	2.94E+00	2.56E-04	3.17E-04	3.53E-04	3.92E-04	4.83E-04
MB	2.94E+00	2.28E-04	2.82E-04	3.16E-04	3.53E-04	4.33E-04
MB	2.95E+00	2.35E-04	2.94E-04	3.29E-04	3.67E-04	4.53E-04
MB	2.95E+00	2.66E-04	3.35E-04	3.77E-04	4.22E-04	5.29E-04
MB	2.96E+00	2.34E-04	2.91E-04	3.24E-04	3.61E-04	4.43E-04
MB	2.98E+00	2.24E-04	2.76E-04	3.08E-04	3.44E-04	4.19E-04
BARTOLI	3.00E+00	2.57E-04	3.20E-04	3.58E-04	4.01E-04	4.99E-04
MB	3.00E+00	2.42E-04	3.03E-04	3.38E-04	3.78E-04	4.65E-04
MB	3.01E+00	2.35E-04	2.95E-04	3.28E-04	3.66E-04	4.47E-04
MB	3.03E+00	2.48E-04	3.10E-04	3.46E-04	3.86E-04	4.78E-04
MB	3.04E+00	2.67E-04	3.35E-04	3.75E-04	4.20E-04	5.21E-04
MB	3.05E+00	2.69E-04	3.35E-04	3.74E-04	4.19E-04	5.23E-04
MB	3.06E+00	2.36E-04	2.95E-04	3.30E-04	3.70E-04	4.57E-04
MB	3.06E+00	2.64E-04	3.30E-04	3.69E-04	4.14E-04	5.10E-04
MB	3.07E+00	2.47E-04	3.07E-04	3.43E-04	3.83E-04	4.74E-04
BARTOLI	3.07E+00	2.10E-04	2.62E-04	2.93E-04	3.27E-04	4.04E-04
BARTOLI	3.08E+00	2.59E-04	3.23E-04	3.63E-04	4.08E-04	5.10E-04
MB	3.09E+00	2.24E-04	2.78E-04	3.11E-04	3.47E-04	4.28E-04
MB	3.10E+00	2.18E-04	2.69E-04	2.99E-04	3.33E-04	4.05E-04
BARTOLI	3.10E+00	2.14E-04	2.67E-04	2.99E-04	3.32E-04	4.07E-04
MB	3.11E+00	2.55E-04	3.16E-04	3.53E-04	3.94E-04	4.88E-04
MB	3.13E+00	2.26E-04	2.81E-04	3.16E-04	3.52E-04	4.33E-04
MB	3.14E+00	2.22E-04	2.76E-04	3.08E-04	3.43E-04	4.24E-04
MB	3.15E+00	2.48E-04	3.15E-04	3.56E-04	4.03E-04	5.14E-04
BARTOLI	3.16E+00	1.98E-04	2.47E-04	2.76E-04	3.07E-04	3.79E-04
MB	3.16E+00	2.25E-04	2.80E-04	3.12E-04	3.49E-04	4.34E-04
MB	3.17E+00	2.81E-04	3.54E-04	3.96E-04	4.45E-04	5.53E-04
