age	CO2 	CO2.1sig
35.9483	198.80	0.37
36.0865	204.12	1.32
36.1731	201.78	0.23
36.2618	200.09	0.63
36.5063	198.96	0.95
36.5918	205.10	1.14
36.6696	203.77	0.16
36.7128	203.75	0.01
36.8202	202.76	1.16
36.9398	203.51	0.23
37.0234	206.36	1.13
37.1186	210.16	0.89
37.1432	207.35	0.16
37.2965	208.25	0.95
37.302	209.66	0.59
37.3381	206.59	0.12
37.431	212.51	1.47
37.4613	209.84	0.53
37.6186	214.30	0.40
37.6475	212.14	0.72
37.7772	212.09	1.62
37.895	214.21	1.09
38.0003	211.21	0.68
38.0885	214.36	1.48
38.1656	208.34	0.59
38.1924	206.52	0.45
38.2842	207.41	0.17
38.3592	208.00	0.67
38.4128	210.79	0.64
38.4729	207.23	0.04
38.5332	210.08	0.40
38.5736	208.23	1.98
38.6218	204.79	0.46
38.6708	204.46	0.74
38.7234	206.54	0.31
38.8126	206.09	0.26
38.8747	205.65	0.02
38.9556	205.99	1.31
38.9768	202.34	1.42
39.0536	204.28	0.68
39.1205	207.32	0.20
39.2657	208.69	1.70
39.3032	209.50	0.47
39.3199	209.33	0.48
39.3398	207.87	0.79
39.3794	204.78	1.06
39.4029	191.53	0.90
39.4544	198.14	1.03
39.5154	200.40	1.36
39.621	195.70	2.08
39.7092	196.67	1.06
39.7571	193.58	1.16
39.885	193.87	0.20
39.9005	197.55	0.67
40.0427	192.60	2.21
40.1121	193.08	0.44
40.1453	193.69	0.42
40.3084	197.90	1.39
40.48594648	201.32	1.37
40.55344	201.48	1.09
40.7543	200.47	0.74
40.9073886	200.97	1.92
41.16790404	201.53	1.88
41.3035942	204.19	1.54
41.6059736	205.49	0.99
41.7592075	201.12	1.00
41.9006868	199.89	1.36
42.3158175	200.90	1.24
42.6283001	204.83	0.19
42.849867	206.35	1.07
42.9680782	204.26	0.76
43.171885	203.16	1.43
43.3506625	201.66	1.81
43.51582055	204.22	0.86
43.66115755	203.18	1.05
43.80901	201.69	1.13
44.09519615	204.31	0.92
44.2044464	202.00	0.52
44.350465	206.22	1.86
44.4905025	204.83	1.32
44.655535	212.29	0.85
44.8160105	210.44	0.56
44.996157	211.49	0.35
45.142015	207.95	0.71
45.2803875	213.92	0.82
45.4603224	214.50	0.81
45.696055	217.51	2.16
45.87710855	222.72	0.33
46.0573338	221.77	1.74
46.181255	219.25	1.19
46.3085475	218.35	1.45
46.635902	216.42	1.44
46.7464378	214.18	0.99
46.887935	210.84	1.50
47.086275	210.27	0.53
47.3149762	207.60	1.20
47.5243569	204.26	0.98
47.71039	203.79	0.39
47.9437511	205.66	0.97
48.22318175	206.18	2.05
48.42786	200.98	0.56
48.98795265	201.58	0.88
49.3029804	200.12	0.40
49.46265525	204.06	1.22
49.728315	203.87	1.26
50.00651	204.38	1.65
50.2205469	206.74	0.48
50.52741475	207.41	0.46
51.0291701	207.64	0.91
51.4314466	211.57	0.39
51.77953	215.08	1.77
52.08681985	213.82	0.73
52.3847809	219.08	0.28
52.573676	220.72	0.36
52.8007425	221.15	1.09
53.1082525	223.72	1.68
53.40045315	223.26	0.89
53.80625205	221.14	1.49
54.1566032	220.37	0.85
54.387125	217.96	1.84
54.6946125	213.89	1.14
55.01448765	216.86	0.61
55.29345915	208.19	0.72
55.55313	214.78	0.55
55.9095374	210.27	1.23
56.2371294	207.67	0.81
56.5035825	212.44	0.67
57.21094265	215.70	0.63
57.476265	217.38	2.49
57.8437247	223.72	0.49
58.2170123	224.35	0.80
58.43332	223.15	1.22
59.10506915	231.29	0.15
59.380405	226.35	1.37
59.73346935	223.45	0.70
60.10988307	216.66	0.84
60.37305923	212.87	0.71
60.5166315	217.25	0.60
60.81761723	213.78	1.38
61.06087747	207.95	1.26
61.23484403	210.57	1.01
61.5541108	210.90	0.70
61.9007233	206.38	1.20
62.55200602	202.56	0.95
62.77457333	202.71	2.34
62.96089567	200.15	0.65
63.55579267	197.40	1.22
63.89687993	197.24	0.78
64.11377897	199.73	1.31
64.65729413	203.70	0.51
64.8674226	201.67	1.19
65.04672067	199.17	0.66
65.5464465	208.98	3.34
65.7645127	198.17	0.74
65.93723267	200.59	1.46
66.4393055	204.39	2.87
66.95971067	207.21	1.69
67.3145875	201.14	2.00
67.7296785	203.76	1.06
68.1461885	200.17	1.62
68.61999347	203.43	0.57
69.0815285	205.42	0.89
69.59201713	211.26	1.13
70.0521648	215.55	1.78
70.42726267	220.33	0.55
70.92887217	225.17	1.38
71.27916903	235.02	1.24
71.69365023	237.56	0.75
72.09281487	239.46	0.88
72.49015	232.79	0.94
72.86604367	232.33	0.97
73.21931633	230.89	2.09
73.75095567	232.74	0.94
74.22148233	231.33	0.70
74.525645	241.24	0.98
75.0679515	243.27	1.62
75.54513367	249.52	0.74
75.8506505	249.94	0.63
76.24747217	239.34	1.12
76.696736	238.01	1.98
77.0564805	231.68	1.54
77.615915	224.92	1.30
78.080753	226.65	0.84
78.50795	224.14	0.65
78.96954013	227.30	0.56
79.410363	229.26	1.34
79.877758	234.74	0.72
80.3303625	230.60	0.62
80.7217855	233.92	1.46
81.2069425	230.33	0.80
81.711431	234.13	1.17
82.0687905	238.89	0.94
82.5267192	240.87	1.64
82.988261	246.32	0.70
83.55411217	247.10	1.00
83.9409	250.79	0.80
84.3574385	243.16	0.76
84.936769	238.42	1.10
85.36746933	234.69	0.60
85.89069383	228.76	1.57
86.49832453	223.38	0.72
87.027636	221.06	2.32
87.58118	223.63	0.93
88.13618	217.80	1.57
88.7010496	223.99	0.50
89.244716	227.38	1.10
89.69625753	228.88	0.58
90.317294	229.74	1.29
90.834015	231.56	0.57
91.44503067	231.12	0.57
91.949738	233.74	1.11
92.6678175	232.46	2.22
93.4247096	235.16	0.83
93.82321367	238.21	0.77
94.56854833	242.41	0.53
95.234114	242.91	1.07
95.92148317	246.20	1.54
96.47488033	245.76	0.60
97.270891	242.35	2.04
97.9274645	239.86	0.45
98.583724	243.18	0.23
99.36142233	242.99	1.01
100.0768497	245.63	1.07
100.5431783	247.87	1.10
101.325675	244.76	1.13
101.971885	240.07	0.94
102.7647767	237.07	1.75
103.30874	240.68	0.94
104.2743333	247.76	0.83
104.3312291	238.88	1.55
104.9664455	242.36	2.65
105.5071485	248.78	9.96
105.9898727	257.58	4.20
106.2563758	241.40	2.65
106.3682545	244.83	3.05
106.9748182	240.34	2.65
108.4019091	236.43	2.65
109.1294182	244.44	1.58
109.8399697	244.13	2.65
110.5553636	246.69	2.65
111.8768	257.93	2.94
112.6360606	256.79	2.65
112.9417273	263.12	2.65
113.1192697	264.75	3.64
113.6786364	260.58	2.65
114.25	267.90	2.65
114.8153939	275.07	2.65
115.4466727	276.96	1.63
115.9085758	273.16	2.65
116.4755758	273.63	2.65
117.1855545	274.03	2.65
117.6193636	274.98	4.03
118.6582697	277.72	2.65
119.2425152	267.74	2.65
119.7155	274.59	1.30
120.1441212	268.73	2.65
120.5429091	276.82	2.65
121.4260152	279.48	2.26
121.8419697	276.61	2.65
122.1000018	278.25	3.40
122.2923636	279.00	2.65
123.0139545	279.16	2.65
123.6309091	274.60	6.56
123.9594848	275.87	2.65
124.4045152	281.54	2.65
124.8174545	275.52	2.65
125.2926333	276.81	2.78
126.013703	275.15	2.65
126.6999091	273.02	2.65
126.9620303	274.93	2.65
127.3138303	275.78	2.65
127.5035497	276.88	3.83
128.0244764	276.03	0.28
128.1726667	280.72	2.65
128.4667273	285.76	2.65
128.878	271.08	2.65
129.0780364	268.44	1.92
129.6556364	260.61	3.45
130.3730303	251.84	2.65
130.8183636	250.84	2.65
131.3222	241.13	1.89
131.9762424	232.28	2.65
132.7098788	228.00	2.65
132.9319576	224.63	2.65
133.7758061	222.74	2.65
134.5222788	212.43	2.65
136.5655455	203.74	0.79
137.7634242	199.18	2.65
138.834297	198.55	1.08
139.9499697	192.75	0.19
142.3605618	196.51	0.95
143.6513	194.59	2.65
144.7995909	196.02	2.65
146.1082436	193.59	0.64
148.2334655	195.81	4.05
149.4661455	201.78	2.65
150.5948848	202.51	2.65
151.4448545	202.35	1.86
153.7746576	198.78	1.73
154.8891273	196.30	2.65
156.3068182	189.38	2.65
158.666	189.00	3.00
159.716	185.50	3.00
160.155	187.50	3.00
163.858	204.30	3.00
164.33465	196.50	3.00
166.143	191.60	3.00
166.784	190.10	3.00
167.9141	186.70	3.00
168.7455	183.80	3.00
169.5144	196.60	3.00
171.939	197.80	3.00
174.442	197.70	3.00
175.83335	196.00	3.00
176.853	190.30	3.00
177.533925	189.40	3.00
177.7295	190.10	3.00
179.873	207.70	3.00
181.302	213.20	3.00
182.196	217.70	3.00
183.258	198.10	3.00
184.371	199.70	3.00
186.411	203.40	3.00
188.437	210.70	3.00
189.8065	231.30	3.00
191.2545	231.40	3.00
191.964075	220.30	3.00
193.0745	218.00	3.00
195.1265	226.50	3.00
195.7995	220.00	3.00
197.58735	226.40	3.00
198.32745	241.20	3.00
198.938	242.60	3.00
201.752	250.90	3.00
202.7445	239.10	3.00
203.842	247.60	3.00
205.203275	244.40	3.00
205.575755	231.90	3.00
205.944575	232.20	3.00
206.359935	228.60	3.00
206.89685	226.30	3.00
207.2403	229.40	3.00
207.62289	231.40	3.00
208.108775	238.10	3.00
208.274525	237.20	3.00
208.82157	230.00	3.00
209.082255	240.50	3.00
209.44504	242.20	3.00
209.966085	244.60	3.00
210.17517	243.90	3.00
210.832065	247.20	3.00
211.058465	252.00	3.00
211.577835	246.90	3.00
212.078745	239.50	3.00
212.533075	257.40	3.00
213.33035	243.40	3.00
214.15881	251.20	3.00
215.080745	241.40	3.00
215.91234	240.30	3.00
216.30615	242.60	3.00
216.864965	247.50	3.00
217.415635	251.70	3.00
217.69496	251.10	3.00
218.200785	245.30	3.00
219.067605	240.50	3.00
220.935615	214.10	3.00
221.69746	216.10	3.00
222.539575	207.10	3.00
223.129035	208.80	3.00
224.271505	205.60	3.00
226.259825	203.30	3.00
226.849835	215.70	3.00
227.719975	235.50	3.00
228.439415	234.50	3.00
228.76699	233.10	3.00
229.572045	224.50	3.00
231.12966	232.40	3.00
232.19177	233.90	3.00
232.85606	241.60	3.00
235.990855	245.20	3.00
236.426005	252.10	3.00
236.8508	241.40	3.00
237.391655	247.40	3.00
237.90553	243.10	3.00
238.425335	239.10	3.00
239.00826	245.60	3.00
239.387035	245.80	3.00
239.73866	247.40	3.00
